SQL> 
SQL> 
SQL> SELECT a.ksppinm AS parameter,
  2      a.ksppdesc AS description,
  3      b.ksppstvl AS session_value,
  4      c.ksppstvl AS instance_value
  5  FROM   x$ksppi a,
  6      x$ksppcv b,
  7      x$ksppsv c
  8  WHERE  a.indx = b.indx
  9  AND    a.indx = c.indx
 10  AND    a.ksppinm LIKE '/_%' ESCAPE '/'
 11  ORDER BY a.ksppinm;

PARAMETER                                                    DESCRIPTION                                                                                          SESSION_VALUE        INSTANCE_VALUE                                                                                                       
_lm_drm_xlatch                                               dynamic remastering forced exclusive latches                                                         0                    0                                                                                                                    
_lm_drmopt12                                                 enable drm scan optimizations in 12                                                                  56                   56                                                                                                                   
_lm_dump_null_lock                                           dump null lock in state dump                                                                         FALSE                FALSE                                                                                                                
_lm_dynamic_lms                                              dynamic lms invocation                                                                               FALSE                FALSE                                                                                                                
_lm_dynamic_load                                             dynamic load adjustment                                                                              TRUE                 TRUE                                                                                                                 
_lm_dynamic_sga_target                                       dynamically adjust for changes in SGA size                                                                                                                                                                                                     
_lm_enable_aff_benefit_stats                                 enables affinity benefit computations if TRUE                                                        FALSE                FALSE                                                                                                                
_lm_enable_pdb_abort                                         enable pdb abort as default failure action                                                           0                    0                                                                                                                    
_lm_enable_translation                                       tells if KJURN_PDBID should translate using kpdb calls                                               FALSE                FALSE                                                                                                                
_lm_enq_iso_enabled                                          if TRUE enables enqueue isolation                                                                    TRUE                 TRUE                                                                                                                 
_lm_enq_lock_freelist                                        Number of ges enqueue element freelist                                                                                                                                                                                                         
_lm_enq_rcfg                                                 if TRUE enables enqueue reconfiguration                                                              TRUE                 TRUE                                                                                                                 
_lm_enqueue_blocker_dump_timeout                             enqueue blocker dump timeout                                                                         120                  120                                                                                                                  
_lm_enqueue_blocker_dump_timeout_cnt                         enqueue blocker dump timeout count                                                                   30                   30                                                                                                                   
_lm_enqueue_blocker_kill_timeout                             enqueue blocker kill timeout                                                                         0                    0                                                                                                                    
_lm_enqueue_freelist                                         Number of enqueue freelist                                                                           3                    3                                                                                                                    
_lm_enqueue_timeout                                          enqueue suggested min timeout in seconds                                                             360                  360                                                                                                                  
_lm_exadata_fence_type                                       if FALSE disable Exadata fence type                                                                  TRUE                 TRUE                                                                                                                 
_lm_fdrm_stats                                               gather full drm statistics                                                                           FALSE                FALSE                                                                                                                
_lm_file_affinity                                            mapping between file id and master instance number                                                                                                                                                                                             
_lm_file_read_mostly                                         mapping between read-mostly file id and master instance number                                                                                                                                                                                 
_lm_free_queue_threshold                                     GES free queue threshold                                                                             0                    0                                                                                                                    
_lm_freeze_kill_time                                         timeout for killing unfrozen processes in rcfg/drm freeze step                                       30                   30                                                                                                                   
_lm_gcs_rht_alloc_size                                       gcs rht allocation chunk size                                                                        4096                 4096                                                                                                                 
_lm_ges_rht_alloc_size                                       ges rht allocation chunk size                                                                        4096                 4096                                                                                                                 
_lm_ges_rht_mem_pct                                          options to size RHT structures per pdb                                                               15                   15                                                                                                                   
_lm_gl_hash_scheme                                           group lock table hashing scheme (0|1|2)                                                              1                    1                                                                                                                    
_lm_global_posts                                             if TRUE deliver global posts to remote nodes                                                         TRUE                 TRUE                                                                                                                 
_lm_hash_control                                             bit field controlling the hashing behavior of the lock manager                                       5                    5                                                                                                                    
_lm_hashtable_bkt_high                                       High element threshold in hash table bucket                                                          5                    5                                                                                                                    
_lm_hashtable_bkt_low                                        Low element threshold in hash table bucket                                                           3                    3                                                                                                                    
_lm_hashtable_bkt_thr                                        Threshold for hash table resizing                                                                    70                   70                                                                                                                   
_lm_hb_acceptable_hang_condition                             list of acceptable hang conditions in heartbeat check                                                default              default                                                                                                              
_lm_hb_callstack_collect_time                                hb diagnostic call stack collection time in seconds                                                  5                    5                                                                                                                    
_lm_hb_callstack_collect_time_long                           extended hb diagnostic call stack collection time in seconds                                         60                   60                                                                                                                   
_lm_hb_cfio_timeout                                          control file io timeout in seconds                                                                   70                   70                                                                                                                   
_lm_hb_disable_check_list                                    list of process names to be disabled in heartbeat check                                              ARC*                 ARC*                                                                                                                 
_lm_hb_enable_acl_check                                      to enable the wait analysis with acceptable condition lists                                          TRUE                 TRUE                                                                                                                 
_lm_hb_exponential_hang_time_factor                          heartbeat exponential hang time multiplier                                                           2                    2                                                                                                                    
_lm_hb_lgio_timeout                                          LGWR io timeout in seconds                                                                           70                   70                                                                                                                   
_lm_hb_maximum_hang_report_count                             maximum heartbeat hang report count                                                                  20                   20                                                                                                                   
_lm_hb_per_proc_behavior                                     heartbeat behavior                                                                                   default              default                                                                                                              
_lm_hb_per_proc_timeout                                      heartbeat timeout                                                                                    default              default                                                                                                              
_lm_hb_timeout_extension                                     heartbeat timeout extension in seconds                                                                                                                                                                                                         
_lm_high_load_sysload_percentage                             high watermark system load percentage                                                                90                   90                                                                                                                   
_lm_high_load_threshold                                      high load threshold parameter                                                                        5                    5                                                                                                                    
_lm_hwc_disabled                                             to disable handle with care behavior                                                                 FALSE                FALSE                                                                                                                
_lm_idle_connection_action                                   GES idle connection action                                                                           kill                 kill                                                                                                                 
_lm_idle_connection_check                                    GES idle connection check                                                                            TRUE                 TRUE                                                                                                                 
_lm_idle_connection_check_interval                           GES idle connection check interval time                                                              140                  140                                                                                                                  
_lm_idle_connection_instance_check_callout                   GES idle connection instance check callout                                                           TRUE                 TRUE                                                                                                                 
_lm_idle_connection_kill                                     GES idle connection kill                                                                             TRUE                 TRUE                                                                                                                 
_lm_idle_connection_kill_max_skips                           GES idle connection max skip kill request                                                            1                    1                                                                                                                    
_lm_idle_connection_load_check                               GES idle connection load check                                                                       TRUE                 TRUE                                                                                                                 
_lm_idle_connection_max_ignore_kill_count                    GES maximum idle connection kill request ignore count                                                2                    2                                                                                                                    
_lm_idle_connection_quorum_threshold                         GES idle connection health quorum threshold                                                          50                   50                                                                                                                   
_lm_inherited_max_requests                                   maximum inherited affinity dissolve requests processed together                                      100                  100                                                                                                                  
_lm_kill_fg_on_timeout                                       GES kill fg on IPC timeout                                                                           TRUE                 TRUE                                                                                                                 
_lm_lazy_domain_timeout                                      lazy domain timeout in seconds                                                                       600                  600                                                                                                                  
_lm_lazy_recovery_member_timeout                             lazy recovery member detach timeout in seconds                                                       300                  300                                                                                                                  
_lm_lhupd_interval                                           load and health update interval                                                                      5                    5                                                                                                                    
_lm_lmd_waittime                                             default wait time for lmd in centiseconds                                                            8                    8                                                                                                                    
_lm_lmon_nowait_latch                                        if TRUE makes lmon get nowait latches with timeout loop                                              TRUE                 TRUE                                                                                                                 
_lm_lms                                                      number of background gcs server processes to start                                                   0                    0                                                                                                                    
_lm_lms_no_yield                                             if TRUE, LMS will not yield in spin mode                                                             FALSE                FALSE                                                                                                                
_lm_lms_opt_priority                                         enable freeslot lms priority optimization                                                            TRUE                 TRUE                                                                                                                 
_lm_lms_priority_check_frequency                             frequency of LMS priority decisions in milliseconds                                                  60000                60000                                                                                                                
_lm_lms_priority_dynamic                                     enable lms priority modification                                                                     TRUE                 TRUE                                                                                                                 
_lm_lms_rt_threshold                                         maximum number of real time lms processes on machine                                                                                                                                                                                           
_lm_lms_spin                                                 make lms not sleep                                                                                   FALSE                FALSE                                                                                                                
_lm_lms_waittime                                             default wait time for lms in centiseconds                                                            3                    3                                                                                                                    
_lm_local_hp_enq                                             use static file affinity for HP enqueue mastership                                                   TRUE                 TRUE                                                                                                                 
_lm_locks                                                    number of enqueues configured for cluster database                                                   12000                12000                                                                                                                
_lm_low_load_percentage                                      low watermark percentage for load threshold                                                          75                   75                                                                                                                   
_lm_master_weight                                            master resource weight for this instance                                                             1                    1                                                                                                                    
_lm_max_lms                                                  max. number of background global cache server processes                                              0                    0                                                                                                                    
_lm_max_lms_block_time                                       max blocking time allowed on LMS (sec)                                                               5                    5                                                                                                                    
_lm_mp_additional_big_buffers                                GES MP extra big buffers per pool                                                                    20                   20                                                                                                                   
_lm_mp_additional_reg_buffers                                GES MP extra regular buffers per pool                                                                20                   20                                                                                                                   
_lm_mp_avail_queue_threshold                                 GES MP avail queue threshold                                                                         0                    0                                                                                                                    
_lm_mp_bulk_mbuf_free                                        GES MP bulk free message buffer queues                                                               FALSE                FALSE                                                                                                                
_lm_mp_expand_big_pool_percent                               GES MP expand big pool                                                                               1                    1                                                                                                                    
_lm_mp_expand_reg_pool_percent                               GES MP expand regular pool                                                                           5                    5                                                                                                                    
_lm_mp_latch_trigger                                         GES MP Latch trigger threshold for trace lines                                                       4000                 4000                                                                                                                 
_lm_mp_latch_trigger_soft                                    GES MP Latch trigger threshold for soft assert                                                       40000                40000                                                                                                                
_lm_mp_share_lms_pools                                       GES MP share LMS pools with critical BGs                                                             TRUE                 TRUE                                                                                                                 
_lm_mp_small_lms_pools                                       GES MP small regular pool for LMS when not sharing                                                   TRUE                 TRUE                                                                                                                 
_lm_msg_batch_size                                           GES batch message size                                                                               0                    0                                                                                                                    
_lm_msg_cleanup_interval                                     GES message buffer cleanup interval time                                                             3000                 3000                                                                                                                 
_lm_msg_pool_dump_threshold                                  GES message pool dump threshold in terms of buffer count                                             20000                20000                                                                                                                
_lm_msg_pool_user_callstack_dump                             GES message pool call stack dump upon exceeding of threshold                                         FALSE                FALSE                                                                                                                
_lm_new_esm                                                  use new enter server mode code                                                                       1                    1                                                                                                                    
_lm_no_lh_check                                              skip load and health check at decision points                                                        FALSE                FALSE                                                                                                                
_lm_no_sync                                                  skip reconfiguration/drm syncr/synca messaging                                                       TRUE                 TRUE                                                                                                                 
_lm_node_join_opt                                            cluster database node join optimization in reconfig                                                  FALSE                FALSE                                                                                                                
_lm_non_fault_tolerant                                       disable cluster database fault-tolerance mode                                                        FALSE                FALSE                                                                                                                
_lm_nonisolated_restype                                      string of resource types banned from enqueue isolation                                               TOTTUL               TOTTUL                                                                                                               
_lm_num_bnft_stats_buckets                                   number of buckets in the benefit stats hash table                                                    1                    1                                                                                                                    
_lm_num_msg_pools_per_type                                   number of GES message pools per type                                                                 1                    1                                                                                                                    
_lm_num_pt_buckets                                           number of buckets in the object affinity hash table                                                  8192                 8192                                                                                                                 
_lm_num_pt_latches                                           number of latches in the object affinity hash table                                                  128                  128                                                                                                                  
_lm_omni_ack_timeout                                         Max time to wait for omni acks before triggering netcheck in secs                                    60                   60                                                                                                                   
_lm_optmode_switch                                           GES: Optmode switching for enqueues (none, manual, stats-driven)                                     0                    0                                                                                                                    
_lm_pdb_domains_enable                                       enable pdb domains in DLM                                                                            7                    7                                                                                                                    
_lm_pdb_wait_all_gone                                        pdb domain attach wait until all locks are gone                                                      FALSE                FALSE                                                                                                                
_lm_pdb_weight_opts                                          options to size RHT structures per pdb                                                               27                   27                                                                                                                   
_lm_postevent_buffer_size                                    postevent buffer size                                                                                256                  256                                                                                                                  
_lm_preregister_css_restype                                  enqueue type that requires pre-registration to css                                                   CF                   CF                                                                                                                   
_lm_proc_freeze_timeout                                      reconfiguration: process freeze timeout                                                              70                   70                                                                                                                   
_lm_process_batching                                         GES implicit process batching for IPC messages                                                       TRUE                 TRUE                                                                                                                 
_lm_process_lock_q_scan_limit                                limit on scanning process lock queue instead of resource convert lock queue                          100                  100                                                                                                                  
_lm_procs                                                    number of client processes configured for cluster database                                           1088                 1088                                                                                                                 
_lm_psrcfg                                                   enable pseudo reconfiguration                                                                        TRUE                 TRUE                                                                                                                 
_lm_rac_spare_dp1                                            rac parameter dp1                                                                                    0                    0                                                                                                                    
_lm_rac_spare_dp10                                           rac parameter dp10                                                                                                                                                                                                                             
_lm_rac_spare_dp2                                            rac parameter dp2                                                                                    0                    0                                                                                                                    
_lm_rac_spare_dp3                                            rac parameter dp3                                                                                    0                    0                                                                                                                    
_lm_rac_spare_dp4                                            rac parameter dp4                                                                                    0                    0                                                                                                                    
_lm_rac_spare_dp5                                            rac parameter dp5                                                                                    0                    0                                                                                                                    
_lm_rac_spare_dp6                                            rac parameter dp6                                                                                                                                                                                                                              
_lm_rac_spare_dp7                                            rac parameter dp7                                                                                                                                                                                                                              
_lm_rac_spare_dp8                                            rac parameter dp8                                                                                                                                                                                                                              
_lm_rac_spare_dp9                                            rac parameter dp9                                                                                                                                                                                                                              
_lm_rac_spare_p1                                             rac parameter p1                                                                                     0                    0                                                                                                                    
_lm_rac_spare_p10                                            rac parameter p10                                                                                                                                                                                                                              
_lm_rac_spare_p11                                            rac parameter p11                                                                                    0                    0                                                                                                                    
_lm_rac_spare_p12                                            rac parameter p12                                                                                    0                    0                                                                                                                    
_lm_rac_spare_p13                                            rac parameter p13                                                                                    0                    0                                                                                                                    
_lm_rac_spare_p14                                            rac parameter p14                                                                                                                                                                                                                              
_lm_rac_spare_p15                                            rac parameter p15                                                                                                                                                                                                                              
_lm_rac_spare_p16                                            rac parameter p16                                                                                                                                                                                                                              
_lm_rac_spare_p2                                             rac parameter p2                                                                                     0                    0                                                                                                                    
_lm_rac_spare_p3                                             rac parameter p3                                                                                     0                    0                                                                                                                    
_lm_rac_spare_p4                                             rac parameter p4                                                                                     0                    0                                                                                                                    
_lm_rac_spare_p5                                             rac parameter p5                                                                                     0                    0                                                                                                                    
_lm_rac_spare_p6                                             rac parameter p6                                                                                                                                                                                                                               
_lm_rac_spare_p7                                             rac parameter p7                                                                                                                                                                                                                               
_lm_rac_spare_p8                                             rac parameter p8                                                                                                                                                                                                                               
_lm_rac_spare_p9                                             rac parameter p9                                                                                                                                                                                                                               
_lm_rcfg_kjcdump_time                                        dlm reconfiguration communication dump interval                                                      60                   60                                                                                                                   
_lm_rcfg_timeout                                             dlm reconfiguration timeout                                                                          489                  489                                                                                                                  
_lm_rcvinst                                                  instance inheritance                                                                                 TRUE                 TRUE                                                                                                                 
_lm_rcvinst_atp_opt                                          recovery instance optimization for ATP                                                               TRUE                 TRUE                                                                                                                 
_lm_rcvinst_sga_threshold                                    recovery buddy SGA threshold                                                                         85                   85                                                                                                                   
_lm_rcvr_hang_allow_time                                     receiver hang allow time in seconds                                                                  70                   70                                                                                                                   
_lm_rcvr_hang_cfio_kill                                      to kill receiver hang at control file IO                                                             FALSE                FALSE                                                                                                                
_lm_rcvr_hang_check_frequency                                receiver hang check frequency in seconds                                                             20                   20                                                                                                                   
_lm_rcvr_hang_check_system_load                              examine system load when check receiver health                                                       TRUE                 TRUE                                                                                                                 
_lm_rcvr_hang_kill                                           to kill receiver hang                                                                                TRUE                 TRUE                                                                                                                 
_lm_rcvr_hang_systemstate_dump_level                         systemstate dump level upon receiver hang                                                            0                    0                                                                                                                    
