SQL> 
SQL> 
SQL> SELECT a.ksppinm AS parameter,
  2      a.ksppdesc AS description,
  3      b.ksppstvl AS session_value,
  4      c.ksppstvl AS instance_value
  5  FROM   x$ksppi a,
  6      x$ksppcv b,
  7      x$ksppsv c
  8  WHERE  a.indx = b.indx
  9  AND    a.indx = c.indx
 10  AND    a.ksppinm LIKE '/_%' ESCAPE '/'
 11  ORDER BY a.ksppinm;

PARAMETER                                                    DESCRIPTION                                                                                          SESSION_VALUE        INSTANCE_VALUE                                                                                                       
_adaptive_scalable_log_writer_disable_worker_threshold       Percentage of overlap across multiple outstanding writes                                             50                   50                                                                                                                   
_adaptive_scalable_log_writer_enable_worker_aging            Per million of redo gen rate when LGWR workers were last used                                        999900               999900                                                                                                               
_adaptive_scalable_log_writer_enable_worker_threshold        Increase in redo generation rate as a percentage                                                     200                  200                                                                                                                  
_adaptive_scalable_log_writer_evaluation_fraction            Serial/parallel log writer evaluation fraction (in 10000ths)                                         100                  100                                                                                                                  
_adaptive_scalable_log_writer_evaluation_interval            Serial/parallel log writer evaluation interval (in seconds)                                          60                   60                                                                                                                   
_adaptive_scalable_log_writer_sampling_count                 Evaluate single versus scalable LGWR every N writes                                                  128                  128                                                                                                                  
_adaptive_scalable_log_writer_sampling_time                  Evaluate single versus scalable LGWR every N seconds                                                 3                    3                                                                                                                    
_adaptive_window_consolidator_enabled                        enable/disable adaptive window consolidator PX plan                                                  TRUE                 TRUE                                                                                                                 
_add_col_optim_enabled                                       Allows new add column optimization                                                                   TRUE                 TRUE                                                                                                                 
_add_nullable_column_with_default_optim                      Allows add of a nullable column with default optimization                                            TRUE                 TRUE                                                                                                                 
_add_stale_mv_to_dependency_list                             add stale mv to dependency list                                                                      TRUE                 TRUE                                                                                                                 
_add_trim_for_nlssort                                        add trimming for fixed char semantics                                                                TRUE                 TRUE                                                                                                                 
_addm_auto_actions_enabled                                   determines if ADDM can automatically implement its recommendations                                   TRUE                 TRUE                                                                                                                 
_addm_auto_enable                                            governs whether ADDM gets run automatically after every AWR snapshot                                 TRUE                 TRUE                                                                                                                 
_addm_skiprules                                              comma-separated list of ADDM nodes to skip                                                                                                                                                                                                     
_addm_version_check                                          governs whether ADDM checks the input AWR snapshot version                                           TRUE                 TRUE                                                                                                                 
_adg_adt_redirect_apply_lag_threshold                        Maximum centi-secends of apply lag threshold                                                         12000                12000                                                                                                                
_adg_adt_redirect_catchup_wait_time                          Maximum centi-secends for standby to catch up                                                        12000                12000                                                                                                                
_adg_auto_close_pdb                                          ADG recovery auto close PDB upon PDB drop/unplug/rename marker                                       TRUE                 TRUE                                                                                                                 
_adg_count_beyond_limit                                      Count the total number of objects if beyond redo marker length.                                      0                    0                                                                                                                    
_adg_defer_segstat                                           Defer the segment statistics update on standby.                                                      TRUE                 TRUE                                                                                                                 
_adg_distributed_lockmaster                                  standby runs under ADG distributed lockmaster mode                                                   FALSE                FALSE                                                                                                                
_adg_influx_qscn_gap                                         maximium time gap between influx scn and qscn update in seconds                                      0                    0                                                                                                                    
_adg_instance_recovery                                       enable ADG instance recovery                                                                         TRUE                 TRUE                                                                                                                 
_adg_objectlock_attempts                                     Maximum attemps for objectlock get on ADG                                                            2                    2                                                                                                                    
_adg_objectlock_maxnum                                       The maximum limit of the objectlock number on ADG                                                    1000                 1000                                                                                                                 
_adg_objectlock_timeout                                      timeout for objectlock get on ADG in centiseconds                                                    0                    0                                                                                                                    
_adg_parselock_timeout                                       timeout for parselock get on ADG in centiseconds                                                     0                    0                                                                                                                    
_adg_parselock_timeout_sleep                                 sleep duration after a parselock timeout on ADG in milliseconds                                      100                  100                                                                                                                  
_adg_redirect_upd_to_primary_max_retries                     max retries for ADT redirect to Primary from ADG                                                     500                  500                                                                                                                  
_adjust_literal_replacement                                  If TRUE, we will adjust the SQL/PLUS output                                                          FALSE                FALSE                                                                                                                
_adr_migrate_runonce                                         Enable/disable ADR Migrate Runonce action                                                            TRUE                 TRUE                                                                                                                 
_advanced_index_compression_cmp_options                      advanced index compression cmp options                                                               0                    0                                                                                                                    
_advanced_index_compression_opt_options                      advanced index compression opt options                                                               0                    0                                                                                                                    
_advanced_index_compression_options                          advanced index compression options                                                                   0                    0                                                                                                                    
_advanced_index_compression_options_value                    advanced index compression options2                                                                  0                    0                                                                                                                    
_advanced_index_compression_recmp_crsz                       advanced index compression limit recomp cr                                                           10                   10                                                                                                                   
_advanced_index_compression_recmp_cusz                       advanced index compression limit recomp cu                                                           90                   90                                                                                                                   
_advanced_index_compression_recmp_nprg                       advanced index compression limit recomp pu                                                           10                   10                                                                                                                   
_advanced_index_compression_trace                            advanced index compression trace                                                                     0                    0                                                                                                                    
_advanced_index_compression_tst_options                      advanced index compression tst options                                                               0                    0                                                                                                                    
_advanced_index_compression_umem_options                     advanced index compression umem options                                                              2147483647           2147483647                                                                                                           
_afd_disable_fence                                           Disable AFD fencing                                                                                  FALSE                FALSE                                                                                                                
_affinity_on                                                 enable/disable affinity at run time                                                                  TRUE                 TRUE                                                                                                                 
_age_block_batch_timeout_ms                                  timeout before shipping out the batched age blockmessages in milliseconds                            1000                 1000                                                                                                                 
_aged_out_cursor_cache_time                                  number of seconds an aged out session cached cursor stay in cache                                    300                  300                                                                                                                  
_aggregation_optimization_settings                           settings for aggregation optimizations                                                               0                    0                                                                                                                    
_aiowait_timeouts                                            Number of aiowait timeouts before error is reported                                                  100                  100                                                                                                                  
_alert_expiration                                            seconds before an alert message is moved to exception queue                                          604800               604800                                                                                                               
_alert_message_cleanup                                       Enable Alert Message Cleanup                                                                         1                    1                                                                                                                    
_alert_message_purge                                         Enable Alert Message Purge                                                                           1                    1                                                                                                                    
_alert_post_background                                       Enable Background Alert Posting                                                                      1                    1                                                                                                                    
_alert_segment_size                                          Alert-log segment size in MBs (1024*1024)                                                            10                   10                                                                                                                   
_alert_segment_textfile                                      Alert-log text-file also to be segmented                                                             FALSE                FALSE                                                                                                                
_alert_segments_max                                          Alert-log max segments to retain, 0 for unlimited                                                    0                    0                                                                                                                    
_all_shared_dblinks                                          treat all dblinks as shared                                                                                                                                                                                                                    
_alloc_perm_as_free                                          allocate permanent chunks as freeable                                                                FALSE                FALSE                                                                                                                
_allocate_creation_order                                     should files be examined in creation order during allocation                                         FALSE                FALSE                                                                                                                
_allocate_flashback_buffer                                   Allocate flashback buffer at mount time even if flashback is off                                     FALSE                FALSE                                                                                                                
_allocation_update_interval                                  interval at which successful search in L1 should be updated                                          3                    3                                                                                                                    
_allow_cell_smart_scan_attr                                  Allow checking smart_scan_capable Attr                                                               TRUE                 TRUE                                                                                                                 
_allow_commutativity                                         allow for commutativity of +, * when comparing expressions                                           TRUE                 TRUE                                                                                                                 
_allow_compatibility_adv_w_grp                               allow advancing DB compatibility with guaranteed restore points                                      FALSE                FALSE                                                                                                                
_allow_convert_to_standby                                    allow convert to standby to go through                                                               FALSE                FALSE                                                                                                                
_allow_cross_endian_dictionary                               Allow cross-endian data dictionary                                                                   FALSE                FALSE                                                                                                                
_allow_cross_version_chunk_move                              Oracle internal parameter                                                                            FALSE                FALSE                                                                                                                
_allow_drop_snapshot_standby_grsp                            Allow dropping snapshot standby guaranteed restore point                                             FALSE                FALSE                                                                                                                
_allow_drop_ts_with_grp                                      Allow drop Tablespace with guaranteed restore points                                                 FALSE                FALSE                                                                                                                
_allow_error_simulation                                      Allow error simulation for testing                                                                   FALSE                FALSE                                                                                                                
_allow_fallback_to_dbkey                                     if TRUE, allow fallback to dbkey                                                                     FALSE                FALSE                                                                                                                
_allow_file_1_offline_error_1245                             don't signal ORA-1245 due to file 1 being offline                                                    FALSE                FALSE                                                                                                                
_allow_insert_with_update_check                              Allow INSERT as statement_types when update_check is FALSE                                           FALSE                FALSE                                                                                                                
